14	1	0
19	2	0
28	3	0
33	4	0
42	5	0
47	6	0
50	7	0
55	8	0
64	9	0
69	10	0
78	11	0
83	12	0
417	13	0
441	14	0
469	15	0
493	16	0
537	17	0
561	18	0
589	19	0
613	20	0
646	21	0
670	22	0
729	23	0
753	24	0
766	25	0
790	26	0
849	27	0
873	28	0
906	29	0
930	30	0
958	31	0
982	32	0
1026	33	0
1050	34	0
1078	35	0
1102	36	0
1167	37	0
1191	38	0
1219	39	0
1243	40	0
1287	41	0
1311	42	0
1339	43	0
1363	44	0
1396	45	0
1420	46	0
1479	47	0
1503	48	0
1516	49	0
1540	50	0
1599	51	0
1623	52	0
1656	53	0
1680	54	0
1708	55	0
1732	56	0
1776	57	0
1800	58	0
1828	59	0
1852	60	0
9100	61	0
9216	62	0
9336	63	0
9452	64	0
9669	65	0
9726	66	0
9749	67	0
9791	68	0
9828	69	0
9867	70	0
9874	71	0
9915	72	0
9923	73	0
9958	74	0
10031	75	0
10035	76	0
10056	77	0
10063	78	0
10074	79	0
10098	80	0
10233	81	0
10290	82	0
10313	83	0
10355	84	0
10479	85	0
10491	86	0
10503	87	0
10595	88	0
10603	89	0
10619	90	0
10817	91	0
10844	92	0
10867	93	0
10931	94	0
10940	95	0
10998	96	0
11043	97	0
11056	98	0
11114	99	0
11175	100	0
11381	101	0
11408	102	0
11431	103	0
11499	104	0
11504	105	0
11525	106	0
11533	107	0
11543	108	0
11568	109	0
11611	110	0
11620	111	0
11659	112	0
11739	113	0
11757	114	0
11941	115	0
12057	116	0
12177	117	0
12293	118	0
12418	119	0
12474	120	0
12497	121	0
12632	122	0
12756	123	0
12764	124	0
12818	125	0
12872	126	0
12876	127	0
12934	128	0
12982	129	0
13038	130	0
13061	131	0
13196	132	0
13257	133	1
13280	134	2
13285	135	3
13320	136	3
13332	137	3
13363	138	3
13392	139	4
13397	140	5
13420	141	6
13436	142	6
13444	143	6
13479	144	6
13566	145	6
13592	146	6
13615	147	6
13772	148	6
13781	149	6
13858	150	6
13884	151	6
13897	152	6
13937	153	7
13942	154	8
13965	155	9
13974	156	9
14016	157	9
14077	158	10
14130	159	10
14156	160	10
14179	161	10
14340	162	10
14345	163	10
14403	164	10
14452	165	10
14461	166	10
14519	167	10
14580	168	10
14737	169	10
14872	170	10
14911	171	10
14918	172	10
14951	173	10
14979	174	10
15002	175	10
15056	176	10
15095	177	10
15107	178	10
15172	179	10
15193	180	10
15200	181	10
15211	182	10
15219	183	10
15239	184	10
15301	185	10
15515	186	10
15543	187	10
15566	188	10
15601	189	10
15659	190	10
15675	191	10
15717	192	10
15775	193	10
15787	194	10
15869	195	10
15876	196	10
15927	197	10
15935	198	10
15992	199	10
16078	200	10
16156	201	10
16171	202	10
16262	203	10
16302	204	10
16314	205	10
16345	206	10
16360	207	10
16378	208	10
16386	209	10
16395	210	10
16467	211	10
16479	212	10
16518	213	10
16579	214	10
16595	215	10
16634	216	10
16781	217	10
16804	218	10
16831	219	10
16953	220	10
17017	221	10
17025	222	10
17035	223	10
17043	224	10
17063	225	10
17083	226	10
17147	227	10
17159	228	10
17179	229	10
17222	230	10
17234	231	10
17265	232	10
17281	233	10
17307	234	10
17316	235	10
17345	236	10
17368	237	10
17395	238	10
17434	239	10
17476	240	10
17485	241	10
17517	242	10
17578	243	10
17700	244	10
17727	245	10
17750	246	10
17916	247	10
17936	248	10
17948	249	10
18032	250	10
18052	251	10
18060	252	10
18142	253	10
18264	254	10
18291	255	10
18314	256	10
18398	257	11
18421	258	12
18426	259	13
18461	260	13
18500	261	13
18516	262	13
18533	263	14
18538	264	15
18561	265	16
18577	266	16
18616	267	16
18628	268	16
18717	269	16
18833	270	16
18866	271	17
18889	272	18
18894	273	19
18962	274	20
19001	275	21
19013	276	22
19078	277	23
19083	278	24
19103	279	24
19117	280	25
19125	281	26
19140	282	27
19149	283	28
19219	284	28
19308	285	28
19320	286	28
19378	287	28
19420	288	28
19436	289	28
19453	290	29
19458	291	30
19481	292	31
19494	293	31
19529	294	31
19552	295	31
19580	296	31
19642	297	32
19647	298	33
19662	299	34
19670	300	35
19686	301	36
19694	302	37
19759	303	38
19794	304	38
19802	305	39
19806	306	40
19876	307	40
19884	308	40
19923	309	40
19988	310	40
20000	311	40
20039	312	40
20093	313	40
20116	314	40
20144	315	40
20358	316	40
20515	317	40
20576	318	40
20634	319	40
20643	320	40
20692	321	40
20750	322	40
20755	323	40
20916	324	40
20939	325	40
20965	326	40
21079	327	40
21121	328	40
21198	329	40
21211	330	40
21237	331	40
21277	332	41
21282	333	42
21305	334	43
21314	335	43
21323	336	43
21417	337	44
21480	338	44
21503	339	44
21529	340	44
21616	341	44
21651	342	44
21659	343	44
21732	344	44
21763	345	44
21775	346	44
21899	347	44
22034	348	44
22057	349	44
22113	350	44
22161	351	44
22219	352	44
22223	353	44
22277	354	44
22294	355	45
22299	356	46
22322	357	47
22331	358	47
22339	359	47
22390	360	48
22395	361	49
22410	362	50
22418	363	51
22434	364	52
22442	365	53
22463	366	53
22511	367	54
22550	368	55
22554	369	56
22598	370	56
22621	371	56
22677	372	56
22802	373	56
22866	374	57
22918	375	57
23038	376	57
23075	377	58
23095	378	59
23099	379	60
23154	380	60
23356	381	60
23436	382	60
23457	383	60
23465	384	60
23475	385	60
23484	386	60
23504	387	60
23552	388	60
23591	389	60
23596	390	60
23664	391	60
23687	392	60
23714	393	60
23786	394	60
23920	395	60
23981	396	60
24039	397	60
24052	398	60
24097	399	60
24155	400	60
24164	401	60
24228	402	60
24251	403	60
24278	404	60
